intern,DatasetID,Warning Message,Error Message,has_visualization,No papers linked - hard to find other data,"Multiple Papers linked, none match NEMAR",HED anotation,Participants,Age range,Dataset size,Number of files,Number of sessions, Scans/session,Type of subjects,Format,Modality,additional modality,EEG Modality,MEG Modality,iEEG modality,Has MRI,Has EOG,Has Behavioral,Has fMRi,Has EcOg,Has DBS,Has SMI,Has EMG,Has TMS,Has ECG,Has SEEG,Has VEOG,Has fNIRS,Has Blood Tests,Eye tracking,Other (put in name),EEG channels,10-20,MEG channels,ECG channels,Ecog channels,EMG channels,EOG channels,MEG REF channels,SEEG channel,Trigger,Misc Channels,Type of data,Modality of experiment,FOR FIGURE - modality of exp,Type of experiment,FOR FIGURE - type of exp,Tasks,Paper of Interest,BIDS version,First author state,Author country,Authors from multiple institutions,Authors from multiple institutions in different state/country,Published date,Uploaded by,Date last update,Dataset DOI,References and links,License,On Brainlife.org,Funding,Ethics Approvals,IRB
Liz,ds003039,n/a,,TRUE,,,No,19,19-32,0.008 TB,157,1,0,"healthy, young, right-handed",".fdt, .set",EEG,n/a,X,,,,,,,,,,,,,,,,,,,64,10-20,,,,,,,,,3,continuous,Physical,Motor,free walking,Motor,neurCorrYoung,,v2.0,Oldenburg,Germany,N,N,2022-05-06 12:42:43,Nadine Jacobsen,,doi:10.18112/openneuro.ds003039.v1.0.2,"Jacobsen, N. S. J., Blum, S., Witt, K., & Debener, S. (2020). A walk in the park? Characterizing gait-related artifacts in mobile EEG recordings. European Journal of Neuroscience. https://doi.org/10.1111/ejn.14965",CC0,FALSE,,The local ethics committee of the University of Oldenburg approved the study (permit number: 2018-079).,yes
Liz,ds003061,n/a,,TRUE,,,Yes,13,24-58,0.002 TB,282,1,3,,.set,EEG,n/a,X,,,,,,,,,,,,,,,,,,,64,10-20,,,,,,,,,11,continuous,Audio,Auditory,Audio Perception,Perception,P300,,v1.2.1,California,United States,n,n,2020-08-19 0:37:07,Arnaud Delorme,,doi:10.18112/openneuro.ds003061.v1.1.2,No bibliographic reference other than the DOI for this dataset,CC0,TRUE,,The project was approved by the local MRI Indian ethical committee and the ethical committee of the University of California San Diego (IRB project # 090731).,Yes
Liz,ds003078,n/a,,FALSE,,,No,6,,0.012 TB,159,1,12,drug-resistant focal epilepsy who had been stereotactically implanted with multilead electroencephalography (EEG) depth electrodes,".fdt, .nii, .set","iEEG, MRI",n/a,,,X,X,,,,,,,,,,,,,,,,,other,,,,,,,,,,continuous,Visual,Visual,Decision,Decision-making,variant of the Wisconsin Card Sorting Test,https://www.science.org/doi/full/10.1126/science.abb0184,1.0.0,Paris,France,N,N,2020-08-17 6:46:03,philippe Domenech,,10.18112/openneuro.ds003078.v1.0.0,,CC0,TRUE,European Research Council Grant ERC-AdG #250106 ===NEMAR-SEP=== IHU CESAME program “Investissements d’Avenir” ANR-10-IBHU-0003,"The study (DSI-SEEG protocol, NCT02869698) was approved by the Institutional Review Board (ANSM #2009-A00239-48) and National French science ethic committee (CPP 09-CHUG-12, #0907)",Yes
Liz,ds004011,n/a,,FALSE,,,No,22,22-41,198.1 GB,4578,1,6,healthy?,".acq, .bak, .cfg, .cls, .de, .hc, .hist, .infods, .meg4, .mrk, .newds, .res4, .ds",MEG,n/a,,X,,,,,,,,,,,,,,,,,,,other,271,,,,,28,,,10,continuous,Visual,Visual,Neural Object Representation,Neuroimaging,occlusion,,1.6.0,North Ryde,Australia,Y,Y,2022-02-08 2:58:36,Lina Teichmann,,doi:10.18112/openneuro.ds004011.v1.0.3,"Teichmann, L., Moerel, D., Rich, A. N., & Baker, C. I. (2021, April 24). The nature of neural object representations during dynamic occlusion. Retrieved from osf.io/tp2ad ===NEMAR-SEP=== Teichmann, L., Moerel, D., Rich, A. N., & Baker, C. I. (2022, January 24). The nature of neural object representations during dynamic occlusion . Retrieved from osf.io/hc25w",CC0,TRUE,,Participants were asked for consent following the rules of the National Institutes of Health (NIH) Institutional Review Board as part of the study protocol 93-M-0170 (NCT00001360).,Yes
Liz,ds003194,n/a,,TRUE,,,No,15,,0 TB,149,2,0,Parkinson's Disease,.edf,EEG,n/a,X,,,,,,,,,,,,,,,,,,,19,10-20,,1,,,,,,,,continuous,Pharmaceutical,Pharmaceutical,Imaging/Disease progression,Clinical/Intervention,"task pre nepo, task 6m nepo",,1.2.0,Chengdu,China,Y,y,2020-10-13 0:44:11,Carlos López,,doi:10.18112/openneuro.ds003194.v1.0.4,,CC0,TRUE,"National Nature and Science Foundation of China (NSFC) No. 61871105, 61673090, 81330032  ===NEMAR-SEP=== CNS Program of UESTC (No. Y0301902610100201)","The project had ethics approval from the “Scientific Review Board” at the International Center for Neurological Restoration, from Spanish Centro Internacional de Restauracion Neurologica (CIREN), La Habana, Cuba. The patients/participants provided their written informed consent to participate in this study.",Yes
Liz,ds003195,n/a,,TRUE,,,No,10,,0 TB,104,2,0,Parkinson's Disease,.edf,EEG,n/a,X,,,,,,,,,,,,,,,,,,,19,10-20,,,,,,,,,,continuous,Pharmaceutical,Pharmaceutical,Imaging/Disease progression,Clinical/Intervention,"task placebo pre, task placebo 6m",,1.2.0,Chengdu,China,Y,Y,2020-10-13 0:43:48,Carlos López,,doi:10.18112/openneuro.ds003195.v1.0.4,,CC0,TRUE,"National Nature and Science Foundation of China (NSFC) No. 61871105, 61673090, 81330032 ===NEMAR-SEP=== CNS Program of UESTC (No. Y0301902610100201)","The project had ethics approval from the “Scientific Review Board” at the International Center for Neurological Restoration, from Spanish Centro Internacional de Restauracion Neurologica (CIREN), La Habana, Cuba. The patients/participants provided their written informed consent to participate in this study.",Yes
Liz,ds003343,n/a,,TRUE,,,No,20,20-32,0.001 TB,320,1,3,healthy,.bdf,EEG,n/a,X,,,,,,,,,,,,,,,,,,,16,10-20,,,,,,,,4,,continuous,Vibration,Tactile,illusory movement,Perception,fps,,1.4.1,Lausanne,Switzerland,N,N,2020-11-12 7:14:08,Christoph Schneider,,10.18112/openneuro.ds003343.v2.0.1,Insert citation + paper doi,CC0,TRUE,"This work was supported by the Fondation CHUV, Lausanne, Switzerland; the Loterie Romande, Lausanne, Switzerland; and Techno Concept, Mane, France.",The study was covered by the ethical protocol No. 142/09 from the Commission cantonale d'éthique de la recherche sur l'être humain (CER -VD) and in agreement with the Declaration of Helsinki.,Yes
Liz,ds003392,Please use the checkmaxfilter option before processing the dataset. The reason this dataset does not have statistics is because it cannot be processed automatically (the checkmaxfilter option is not used for automated processing). See https://github.com/fieldtrip/fieldtrip/issues/2373 and https://github.com/fieldtrip/fieldtrip/issues/2372),,FALSE,,,No,11,,0.011 TB,159,1,0,"right-handed, normal/corrected hearing and vision",.fif,"MEG, MRI",n/a,,X,,X,,,,,,,,,,,,,,,,,other,306,1,,,2,,,9,2,continuous,Visual,Visual,functional selectivity,Neuroimaging,localizer,,?,Gif-sur-Yvette,France,N,N,2020-11-20 20:41:26,Alexandre Gramfort,,10.18112/openneuro.ds003392.v1.0.4,https://doi.org/10.1016/j.neuroimage.2014.02.017,CC0,TRUE,This work was supported by a Marie Curie IRG-249222 and an ERC-StG-263584 to V.vW and an ANR Schubert ANR-0909-JCJC-071 to P.C.,"Before the experiment, all participants provided a written informed consent in accordance with the Declaration of Helsinki (2008) and the local Ethics Committee on Human Research at NeuroSpin (Gif-sur-Yvette, France).",Yes
Liz,ds003392,Please use the checkmaxfilter option before processing the dataset. The reason this dataset does not have statistics is because it cannot be processed automatically (the checkmaxfilter option is not used for automated processing). See https://github.com/fieldtrip/fieldtrip/issues/2373 and https://github.com/fieldtrip/fieldtrip/issues/2372),,FALSE,,,No,11,,0.011 TB,159,1,0,"right-handed, normal/corrected hearing and vision",.fif,"MEG, MRI",n/a,,X,,X,,,,,,,,,,,,,,,,,other,306,1,,,2,,,9,2,continuous,Audio,Auditory,functional selectivity,Neuroimaging,noise,,?,Gif-sur-Yvette,France,N,N,2020-11-20 20:41:26,Alexandre Gramfort,,10.18112/openneuro.ds003392.v1.0.4,https://doi.org/10.1016/j.neuroimage.2014.02.017,CC0,TRUE,This work was supported by a Marie Curie IRG-249222 and an ERC-StG-263584 to V.vW and an ANR Schubert ANR-0909-JCJC-071 to P.C.,"Before the experiment, all participants provided a written informed consent in accordance with the Declaration of Helsinki (2008) and the local Ethics Committee on Human Research at NeuroSpin (Gif-sur-Yvette, France).",Yes
Liz,ds003458,n/a,,TRUE,,,No,23,18-24,0.005 TB,201,1,0,healthy college students,".fdt, .set",EEG,n/a,X,,,,,,,,,,,,,,,,,,,64,10-20,,1,,1,1,,,,64,continuous,Visual,Visual,Reward Positivity,Affect,ThreeArmedBandit,,1.1.1,New Mexico,United States,N,N,2021-01-04 22:45:12,James F Cavanagh,,10.18112/openneuro.ds003458.v1.1.0,PMID: 25676913,CC0,TRUE,,The experiment was approved by the University of New Mexico (UNM) Institutional Review Board and all participants provided written informed consent.,Yes
Liz,ds003474,n/a,,TRUE,,,No,122,18-24,0.018 TB,1014,1,2,college-age," .fdt, .set",EEG,n/a,X,,,,,,,,,,,,,,,,,,,64,10-20,,,,,,,,,66,continuous,Visual,Visual,Probablistic learning,Decision-making,ProbabilisticSelection,,1.1.1,New Mexico,United States,Y,Y,2021-02-05 21:40:47,James F Cavanagh,,10.18112/openneuro.ds003474.v1.1.0,PMID: 31149639,CC0,TRUE,,All participants provided written informed consent that was approved by the University of Arizona.,Yes
Liz,ds003478,n/a,,TRUE,,,No,122,18-24,0.011 TB,1959,1,2,college-age," .fdt, .set",EEG,n/a,X,,,,,,,,,,,,,,,,,,,64,10-20,,,,,,,,,66,continuous,rest,Resting State,,Neuroimaging,Rest,,1.1.1,New Mexico,United States,Y,Y,2021-01-18 19:50:00,James F Cavanagh,,10.18112/openneuro.ds003478.v1.1.0,PMID: 31149639,CC0,TRUE,,All participants provided written informed consent that was approved by the University of Arizona.,Yes
Liz,ds003490,n/a,,FALSE,,,No,50,48-84,0.006 TB,607,2,1,Parkinson's Disease and controls,".fdt, .set",EEG,n/a,X,,,,,,,,,,,,,,,,,,,64,10-20,,,,,,,,,67,continuous,Auditory,Auditory ,Attentional,Attention,Rest,,1.1.1,New Mexico,United States,N,N,2021-01-27 18:22:50,James F Cavanagh,,10.18112/openneuro.ds003490.v1.1.0,PMID: 29294412,CC0,TRUE,,The University of New Mexico Office of the Institutional Review Board approved the study and all participants provided written informed consent.,Yes
Liz,ds003498,n/a,,FALSE,,,No,20,,0.048 TB,2335,1,41,drug-resistant focal epilepsy,".eeg, .vhdr, .vmrk",iEEG,n/a,,,X,,,,,,,,,,,,,,,,,,other,,,50,,,,,,,continuous,"Long-term recording analysis, surgery",Surgery,Resection of HFO (High frequency oscillations),Clinical/Intervention,epilepsy surgery,https://www.nature.com/articles/s41598-017-13064-1,1.4.0,Zurich,Switzerland,N,N,2021-03-10 15:56:12,Adam Li,,doi:10.18112/openneuro.ds003498.v1.1.1,,CC0,FALSE,,Collection of personal patient data and retrospective scientific workup was approved by the research ethics committee (Kantonale Ethikkommission KEK-ZH-Nr. 2012-0212) and collection of patients’ written informed consent was waived. The study was performed in accordance with the relevant guidelines and regulations.,Yes
Liz,ds003505,n/a,,FALSE,,,No,20,20-32,0.031 TB,310,1,1,"healthy, student, normal/corrected vision",".bdf, .bval, .bvec","EEG, MRI","diffusion weighted images, behavior",X,,,X,,X,,,,,,,,,,,,,diffusion weighted images,128,10-20,,,,,,,,,,continuous,Visual,Visual,face detection,Perception,"faces, motion",https://www.nature.com/articles/s41597-021-01116-1,1.6.0,Fribourg,Switzerland,Y,y,2021-03-11 7:46:16,Sinergia Consortium,,doi:10.18112/openneuro.ds003505.v1.1.2,https://doi.org/10.1038/s41597-021-01116-1 ===NEMAR-SEP=== https://www.biorxiv.org/content/10.1101/2021.03.16.435599v1,CC0,TRUE,"This research was supported by Swiss National Science Foundation grants PP00P1\_183714, PP00P1\_190065 and CRSII5-170873.","The experimental procedures complied with the Declaration of Helsinki and were approved by the regional ethics board (CER-VD, Protocol Nr. 2016–00060).",Yes
Liz,ds003506,n/a,,TRUE,,,No,56,48-84,0.017 TB,724,2,0,Parkinson's Disease and controls,".fdt, .set",EEG,n/a,X,,,,,,,,,,,,,,,,,,,64,10-20,,,,,,,,,67,continuous,Visual,Visual,Decision,Decision-making,ReinforcementLearning,,1.1.1,New Mexico,United States,N,N,2021-02-05 20:07:58,James F Cavanagh,,10.18112/openneuro.ds003506.v1.1.0,PMID: 31704082,CC0,TRUE,,The University of New Mexico Office of the Institutional Review Board approved the study and all participants provided informed consent.,Yes
Liz,ds003509,n/a,,FALSE,,,No,56,48-84,0.024 TB,1080,2,1,Parkinson's Disease and controls,".fdt, .set",EEG,n/a,X,,,,,,,,,,,,,,,,,,,64,10-20,,,,,,,,,67,continuous,Visual,Visual,Cognitive Control,Learning,SimonConflict,,1.1.1,Iowa,United States,Y,Y,2021-02-08 22:26:43,James F Cavanagh,,10.18112/openneuro.ds003509.v1.1.0,PMID: 29802866,CC0,TRUE,,The University of New Mexico Office of the Institutional Review Board approved the study and all participants provided written informed consent.,Yes
Liz,ds003516,n/a,,TRUE,,,No,25,18-50,0.008 TB,219,1,0,native German speakers without psychological/neurological conditions,".fdt, .set",EEG,n/a,X,,,,,,,,,,,,,,,,,,,47,other,,,,,2,,,,,continuous,Audio,Auditory,Attentional,Attention,AttendedSpeakerParadigmOwnName,,v5.2,Oldenburg,Germany,Y,N,2021-02-12 17:59:37,Björn Holtze,,doi:10.18112/openneuro.ds003516.v1.1.3,https://doi.org/10.3389/fnins.2021.643705,CC0,TRUE,,"The studies involving human participants were reviewed and approved by the Kommission für Forschungsfolgenabschätzung und Ethik, University of Oldenburg, Oldenburg, Germany. The patients/participants provided their written informed consent to participate in this study.",Yes
Liz,ds003517,n/a,,TRUE,,,No,17,18-39,0.006 TB,389,1,2,"healthy, undergraduates",".fdt, .set",EEG,n/a,X,,,,,,,,,,,,,,,,,,,64,10-20,,,,,,,,,65,continuous,Visual,Visual,task performance,Learning,ContinuousVideoGamePlay,,1.1.1,New Mexico,United States,N,N,2021-02-15 18:10:24,James F Cavanagh,,10.18112/openneuro.ds003517.v1.1.0,PMID: 26952196,CC0,TRUE,,The experiment was approved by the University of New Mexico (UNM) Institutional Review Board and all participants provided written informed consent.,Yes
Liz,ds003518,n/a,,TRUE,,,No,110,18-30,0.042 TB,1265,2,0,healthy,".fdt, .set",EEG,n/a,X,,,,,,,,,,,,,,,,,,,64,10-20,,,,,,,,,64,continuous,drug,Pharmaceutical,Cabergoline,Clinical/Intervention,SimonConflict,,1.1.1,New Mexico,United States,Y,Y,2021-02-16 18:03:02,James F Cavanagh,,10.18112/openneuro.ds003518.v1.1.0,PMID: 25367437,CC0,TRUE,,Both experiments were approved by the Brown University Institutional Review Board and all participants provided written informed consent.,Yes
Liz,ds003519,n/a,,TRUE,,,No,27,18-26,0.01 TB,439,2,0,healthy,".fdt, .set",EEG,n/a,X,,,,,,,,,,,,,,,,,,,64,10-20,,,,,,,,,64,continuous,drug,Pharmaceutical,cabergoline,Clinical/Intervention,VisualWorkingMemory,,1.1.1,New Mexico,United States,Y,Y,2021-02-17 17:12:37,James F Cavanagh,,10.18112/openneuro.ds003519.v1.1.0,PMID: 29569219,CC0,TRUE,,The research was approved by the Institutional Review Board of Brown University. Participants gave written informed consent and were compensated for their participation.,Yes
Liz,ds003522,n/a,,TRUE,,,No,96,18-55,0.027 TB,1631,3,2,no premorbid major medical conditions,".fdt, .set",EEG,n/a,X,,,,,,,,,,,,,,,,,,,64,10-20,,,,,,,,,65,continuous,Audio,Auditory,Decision,Decision-making,ThreeStimAuditoryOddball,,1.1.1,New Mexico,United States,N,N,2021-02-19 22:38:34,James F Cavanagh,,10.18112/openneuro.ds003522.v1.1.0,PMID: 31228481,CC0,TRUE,,The University of New Mexico Health Sciences Center (UNMHSC) Human Research Protections Office approved the study and all participants provided written informed consent.,Yes
Liz,ds003523,n/a,,TRUE,,,No,91,18-55,0.04 TB,1802,3,2,no premorbid major medical conditions,".fdt, .set",EEG,n/a,X,,,,,,,,,,,,,,,,,,,64,10-20,,,,,,,,,65,continuous,Visual,Visual,Memory,Memory,VisualWorkingMemory,,1.1.1,New Mexico,United States,N,N,2021-02-22 20:47:30,James F Cavanagh,,10.18112/openneuro.ds003523.v1.1.0,,CC0,TRUE,,The University of New Mexico Health Sciences Center Human Research Protections Office approved the study.,yYes
Liz,ds003555,n/a,,FALSE,,,No,30,,0.016 TB,96,1,18,<18 yo with epilepsy,.edf,EEG,n/a,X,,,,,,,,,,,,,,,,,,,23,10-20,,,,,,,,,,continuous,whole-night EEG recording,Resting State,impact of age on HFO,Clinical/Intervention,hfo,,1.4.0,Zurich,Switzerland,N,N,2021-03-06 1:41:25,Dorottya Cserpan,,10.18112/openneuro.ds003555.v1.0.1,TBD,CC0,TRUE,Swiss National Science Foundation (CRSK-3\_190895 to G.R. and J.S.).,Kantonale Ethikkommission Zürich ( KEK-ZH PB-2016-02055),Yes
Liz,ds004398,n/a,,FALSE,,,No,1,,1.3 GB,18,1,1,healthy,".acq, .cls, .hc, .hist, .infods, .meg4, .newds, .res4, .ds",MEG,n/a,,X,,,,,,,,,,,,,,,,,,,other,272,1,,,3,29,,,,continuous,Visual,Visual,Memory,Memory,Memory,,,London ,United Kingdom,Y,Y,2023-01-23 14:29:41,Elliott Wimmer,,doi:10.18112/openneuro.ds004398.v1.0.0,https://github.com/gewimmer-neuro/multistep-replay ===NEMAR-SEP=== https://osf.io/szjxp/ ===NEMAR-SEP=== https://doi.org/10.1101/2021.11.08.467745 (update to PNAS),CC0,FALSE,G.E.W. was supported by a fellowship from the Deutsche Forschungsgemeinschaft (DFG) and an MRC Career Development Award (MR/V032429/1) ===NEMAR-SEP=== R.D. is supported by Wellcome Trust Investigator Award 098362/ Z/12/Z. ===NEMAR-SEP=== Y.L. was supported by the Open Research Fund of the State Key Laboratory of Cognitive Neuroscience and Learning. ===NEMAR-SEP=== D.C.M. was supported by a Sir Henry Wellcome Trust Postdoctoral Research Fellowship Q: (110257/Z/15/Z). ===NEMAR-SEP=== The Wellcome Centre for Human Neuroimaging is supported by core funding from the Wellcome Trust (203147/Z/16/Z). ===NEMAR-SEP=== The Max Planck University College London Centre is a joint initiative supported by University College London and the Max Planck Society.,The study was approved by the University College London Research Ethics Committee (Approval ID Number: 9929/002).,Yes
Liz,ds003570,n/a,,TRUE,,,No,40,18-42,0.051 TB,323,1,0,formal musical training,".fdt, .set",EEG,n/a,X,,,,,,,,,,,,,,,,,,,64,10-20,,,,,,,,,64,continuous,Audio,Auditory,Decision,Decision-making,AuditoryOddballChords,,1.1.1,New York,United States,N,N,2021-03-20 8:07:03,Josef Faller,,10.18112/openneuro.ds003570.v1.0.0,"Goldman, A., Jackson, T., & Sajda, P. (2020). Improvisation experience predicts how musicians categorize musical structures. Psychology of Music, 48(1), 18-34. https://doi.org/10.1177/0305735618779444 ===NEMAR-SEP=== Faller, J., Goldman, A. J., Lin, Y., McIntosh, J. R., & Sajda, P. (2021). Spatiospectral brain networks reflective of improvisational experience. bioRxiv. https://doi.org/10.1101/2021.02.25.432633",CC0,TRUE,Presidential Scholars in Society and Neuroscience program at Columbia University ===NEMAR-SEP=== Army Research Laboratory under Cooperative Agreement Number W911NF-15-2-0074,"Institutional Review Board of Columbia University, New York City, NY, USA",Yes
Liz,ds003574,n/a,,TRUE,,,No,18,18-26,0.019 TB,315,1,2,"healthy, right-handed",.edf,"MRI, EEG",n/a,X,,,X,,,,,,,,,,,,,,,,64,10-20,,,,,2,,,,,continuous,Visual,Visual,Reward,Affect,"game, Face-Maze game, rest, Rest during sleep with simultaneous EEG",https://www.nature.com/articles/s41467-021-24357-5,1.4.1,Geneva,Switzerland,Y,Y,2021-03-26 13:31:27,Virginie Sterpenich,,10.18112/openneuro.ds003574.v1.0.2,"Reward biases spontaneous neural reactivation during sleep, Virginie Sterpenich,Mojca KM van Schie,Maximilien Catsiyannis,Avinash Ramyead,Stephen Perrig,Hee-Deok Yang,Dimitri Van De Ville,Sophie Schwartz, Nat. Comm., 2021",CC0,TRUE,Swiss National Science Foundation (51NF40-104897 - 320030-159862 - 320030-135653) ===NEMAR-SEP=== Mercier Foundation ===NEMAR-SEP=== National Research Foundation of Korea (NRF - 2017R1A2B4005305),"The study protocol was approved by the Human Research Ethics Committee from the State of Geneva, Switzerland. ",Yes
Liz,ds003602,n/a,,FALSE,,,No,118,32-43,0.079 TB,4247,1,2,Monozygotic twin pairs," .fdt, .set",EEG,n/a,X,,,,,,,,,,,,,,,,,,,35,other,,,,,,,,,35,continuous,Visual,Visual,Decision,Decision-making,Experiment,,v5.1,Missouri,United States,N,N,2022-07-27 17:15:46,Arnaud Delorme,,doi:10.18112/openneuro.ds003602.v1.0.1,No bibliographic reference other than the DOI for this dataset,CC0,TRUE,5R01AA025646-04 ===NEMAR-SEP=== 5R24MH120037,The project was approved by the Washington University Institutional Review Board (IRB project # 201707051).,Yes
Liz,ds003620,Subject 36 data is corrupted,,TRUE,,,No,44,18-39,0.018 TB,370,1,2,"healthy, right-handed",".eeg, .set, .vhdr, .vmrk",EEG,n/a,X,,,,,,,,,,,,,,,,,,,32,10-20,,,,,,,,,3,continuous,Audio,Auditory,Decision,Decision-making,Oddball,,1.4,Stockholm,Sweden,Y,Y,2021-04-20 2:21:41,Andrew W Corcoran,,doi:10.18112/openneuro.ds003620.v1.1.1,"Liebherr, Corcoran, et al. (2021). EEG and behavioral correlates of attentional processing while walking and navigating naturalistic environments. Sci Rep 11, 22325. doi: 10.1038/s41598-021-01772-8",CC0,TRUE,FT160100437,"The study was performed in accordance with the ethical standards laid down in the Declaration of Helsinki and approved by the local ethics committee at the University of South Australia (ID: 0,000,034,991)",Yes
